Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2022-01-05 12:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,93.5,$3788.9646,$3989.6700 (5.30%),$3785.1756,$3387.5537,0.0,3.86,2022-01-06 08:00 | 2022-02-04 04:00,$3387.5537 | $2803.7700,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 46.39,R$ -17.28,"R$ +5,155.68",3.43,"R$ 105,155.68"
2022-01-03 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,95.4,$46779.4586,$49085.3250 (4.93%),$46732.6791,$42167.7257,-0.25,2.84,2022-01-07 00:00 | 2022-02-04 12:00,$42167.7257 | $39481.7200,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 48.57,R$ -90.44,"R$ +3,916.99",2.61,"R$ 109,072.67"
2022-02-18 12:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,103.0,$2876.2711,$3106.3728 (8.00%),$2873.3949,$2416.0678,0.0,2.09,2022-02-24 00:00 | 2022-02-26 00:00,$2416.0678 | $2875.6936,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 32.10,R$ -10.69,"R$ +1,626.64",0.99,"R$ 110,699.31"
2022-02-18 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,105.4,$40656.6615,$43909.1944 (8.00%),$43909.1944,$34151.5957,-0.77,1.77,2022-02-28 20:00,$43944.3218,Stop Loss Inicial,R$ 32.11,R$ 3.36,"R$ -1,699.40",-1.03,"R$ 108,999.92"
2022-02-27 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,106.6,$2713.0628,$2930.1078 (8.00%),$2930.1078,$2278.9727,-0.95,0.49,2022-02-28 20:00,$2932.4519,Stop Loss Inicial,R$ 32.62,R$ 1.81,"R$ -1,724.53",-1.03,"R$ 107,275.39"
2022-03-06 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,105.7,$39262.3590,$42403.3477 (8.00%),$42403.3477,$32980.3816,-0.92,0.63,2022-03-09 08:00,$42437.2704,Stop Loss Inicial,R$ 31.65,R$ -5.72,"R$ -1,665.71",-1.03,"R$ 105,609.68"
2022-03-13 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,90.4,$39150.9148,$41411.8929 (5.78%),$41411.8929,$34628.9585,-0.26,0.62,2022-03-16 00:00,$41445.0224,Stop Loss Inicial,R$ 21.37,R$ -1.64,R$ -830.91,-1.04,"R$ 104,778.77"
2022-03-05 00:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,104.1,$2618.9399,$2828.4551 (8.00%),$2828.4551,$2199.9095,-0.87,0.76,2022-03-17 12:00,$2830.7178,Stop Loss Inicial,R$ 31.65,R$ -32.87,"R$ -1,638.55",-1.01,"R$ 103,140.22"
2022-04-17 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,100.3,$40195.5921,$41602.4379 (3.50%),$41602.4379,$37381.9007,-0.88,0.92,2022-04-19 12:00,$41635.7198,Stop Loss Inicial,R$ 34.26,R$ -2.11,R$ -835.99,-1.06,"R$ 102,304.24"
2022-04-26 16:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,104.4,$38527.7265,$41609.9446 (8.00%),$38489.1988,$32363.2903,-0.47,2.01,2022-05-09 12:00 | 2022-05-30 08:00,$32363.2903 | $30659.1000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 15.96,R$ -32.42,"R$ +1,792.45",2.3,"R$ 104,096.68"
2022-04-29 12:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,98.5,$2840.3991,$3067.6310 (8.00%),$2837.5587,$2385.9352,-0.5,4.24,2022-05-09 08:00 | 2022-07-07 12:00,$2385.9352 | $1219.7500,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 17.31,R$ -9.36,"R$ +3,555.53",4.56,"R$ 107,652.21"
