Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2026-03-04 08:00,SIREN,Consolidação (1.8R),88/100,$0.4163,$0.4163 (-51.75%),$0.8041,$1.0196,2026-03-16 20:00,$0.4160,Stop no Breakeven (Pessimista),R$ -0.13,R$ 216.91
2026-03-04 08:00,TRX,Consolidação (1.8R),83/100,$0.2833,$0.2833 (-2.43%),$0.2957,$0.3026,2026-03-14 12:00 | 2026-03-16 20:00,$0.2957 | $0.2954,Alvo 1 (1.8R) | Trailing EMA20,R$ +17.07,R$ 225.50
2026-03-04 08:00,HYPE,Consolidação (1.8R),84/100,$32.1931,$32.1931 (-10.98%),$38.5563,$42.0914,2026-03-14 16:00 | 2026-03-17 20:00,$38.5563 | $42.0914,Alvo 1 (1.8R) | Alvo 2,R$ +22.50,R$ 239.25
2026-03-16 20:00,SUI,Tendência (2.5R),83/100,$1.0609,$0.9597 (-9.54%),$1.3140,$1.4658,2026-03-19 04:00,$0.9589,Stop Loss Inicial (Pessimista),R$ -11.52,R$ 227.67
2026-03-17 20:00,TAO,Tendência (2.5R),92/100,$282.4712,$249.6746 (-11.61%),$364.4625,$413.6573,2026-03-19 08:00,$249.4749,Stop Loss Inicial (Pessimista),R$ -12.23,R$ 215.55
2026-03-16 20:00,PUMP,Consolidação (1.8R),92/100,$0.0021,$0.0018 (-12.36%),$0.0026,$0.0028,2026-03-19 12:00,$0.0018,Stop Loss Inicial (Pessimista),R$ -11.54,R$ 204.15
2026-03-20 04:00,SIREN,Consolidação (1.8R),76/100,$0.8986,$0.8986 (-30.30%),$1.3888,$1.6611,2026-03-22 04:00 | 2026-03-22 04:00,$1.3888 | $1.6611,Alvo 1 (1.8R) | Alvo 2,R$ +23.38,R$ 227.35
2026-03-23 04:00,KITE,Consolidação (1.8R),75/100,$0.2298,$0.1933 (-15.90%),$0.2956,$0.3321,2026-03-27 00:00,$0.1931,Stop Loss Inicial (Pessimista),R$ -11.60,R$ 215.54
2026-03-20 04:00,RENDER,Consolidação (1.8R),80/100,$1.7439,$1.5474 (-11.26%),$2.0975,$2.2939,2026-04-03 04:00,$1.9240,Time-Stop (14d),R$ +8.84,R$ 224.53
2026-03-20 04:00,TAO,Consolidação (1.8R),80/100,$286.7933,$286.7933 (-21.86%),$399.6310,$462.3186,2026-04-03 04:00,$305.8400,Time-Stop (14d),R$ +2.82,R$ 227.59
2026-04-05 16:00,ALGO,Consolidação (1.8R),84/100,$0.1184,$0.1066 (-9.94%),$0.1395,$0.1513,2026-04-11 04:00,$0.1065,Stop Loss Inicial (Pessimista),R$ -11.52,R$ 215.94
2026-04-05 16:00,VVV,Consolidação (1.8R),84/100,$7.2926,$7.2926 (-11.66%),$8.8231,$9.6733,2026-04-11 20:00 | 2026-04-12 08:00,$8.8231 | $7.8120,Alvo 1 (1.8R) | Trailing EMA20,R$ +13.35,R$ 229.13
2026-04-11 04:00,ASTER,Consolidação (1.8R),83/100,$0.6703,$0.6703 (-3.17%),$0.7086,$0.7299,2026-04-14 16:00,$0.6698,Stop no Breakeven (Pessimista),R$ -1.15,R$ 228.37
2026-04-12 08:00,ARIA,Tendência (2.5R),83/100,$0.8962,$0.2319 (-74.13%),$2.5572,$3.5537,2026-04-14 16:00,$0.2317,Stop Loss Inicial (Pessimista),R$ -11.48,R$ 216.91
2026-04-05 04:00,TRX,Consolidação (1.8R),76/100,$0.3180,$0.3180 (-2.12%),$0.3301,$0.3369,2026-04-19 04:00,$0.3297,Time-Stop (14d),R$ +19.60,R$ 235.37
2026-04-19 04:00,VVV,Tendência (2.5R),92/100,$8.8924,$8.8924 (-10.21%),$11.1617,$12.5232,2026-04-21 20:00,$8.8853,Stop no Breakeven (Pessimista),R$ -0.36,R$ 234.62
2026-04-21 20:00,TRX,Consolidação (1.8R),92/100,$0.3323,$0.3215 (-3.24%),$0.3516,$0.3624,2026-04-24 16:00,$0.3213,Stop Loss Inicial (Pessimista),R$ -12.39,R$ 221.66
2026-04-14 16:00,PAXG,Consolidação (1.8R),87/100,$4795.2564,$4595.5204 (-4.17%),$5154.7814,$5354.5174,2026-04-28 08:00,$4591.8439,Stop Loss Inicial (Pessimista),R$ -12.48,R$ 209.82
2026-04-14 16:00,XMR,Tendência (2.5R),83/100,$353.8768,$353.8768 (-7.44%),$419.6636,$459.1357,2026-04-28 16:00,$379.3400,Time-Stop (14d),R$ +9.09,R$ 220.12
2026-04-24 16:00,ARB,Tendência (2.5R),96/100,$0.1317,$0.1176 (-10.72%),$0.1669,$0.1881,2026-05-03 08:00,$0.1175,Stop Loss Inicial (Pessimista),R$ -11.32,R$ 208.39
2026-05-03 08:00,RED,Consolidação (1.8R),91/100,$0.1353,$0.1353 (-6.84%),$0.1519,$0.1612,2026-05-05 00:00,$0.1352,Stop no Breakeven (Pessimista),R$ -0.43,R$ 207.73
