Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2022-02-07 16:00,SNX,Consolidação (1.8R),100/100,$5.9250,$5.5950 (-5.57%),$6.5188,$6.8487,2022-02-08 08:00,$5.5906,Stop Loss Inicial (Pessimista),"R$ -2,608.07","R$ 97,391.93"
2022-02-15 08:00,GALA,Tendência (2.5R),100/100,$0.3373,$0.3373 (-6.00%),$0.3879,$0.4182,2022-02-16 08:00,$0.3370,Stop no Breakeven (Pessimista),R$ -105.64,"R$ 97,246.18"
2022-02-15 12:00,AVAX,Consolidação (1.8R),100/100,$88.1340,$88.1340 (-5.82%),$97.3654,$102.4940,2022-02-17 00:00 | 2022-02-17 16:00,$97.3654 | $88.0635,Alvo 1 (1.8R) | Stop Breakeven 0x0 2ª metade (Pessimista),"R$ +2,082.93","R$ 99,369.21"
2022-03-01 04:00,AVAX,Consolidação (1.8R),100/100,$86.6933,$81.4917 (-6.00%),$96.0562,$101.2578,2022-03-03 00:00,$81.4265,Stop Loss Inicial (Pessimista),"R$ -2,599.08","R$ 96,652.18"
2022-02-28 16:00,BCH,Consolidação (1.8R),100/100,$329.4146,$309.6497 (-6.00%),$364.9914,$384.7563,2022-03-03 12:00,$309.4020,Stop Loss Inicial (Pessimista),"R$ -2,608.21","R$ 94,092.77"
2022-03-01 16:00,ETH,Tendência (2.5R),100/100,$2950.6746,$2818.2554 (-4.49%),$3281.7225,$3480.3513,2022-03-03 12:00,$2816.0008,Stop Loss Inicial (Pessimista),"R$ -2,633.17","R$ 91,528.75"
2022-03-17 04:00,ZEC,Consolidação (1.8R),100/100,$159.3096,$149.7510 (-6.00%),$176.5151,$186.0736,2022-03-17 20:00,$149.6312,Stop Loss Inicial (Pessimista),"R$ -2,379.73","R$ 89,149.02"
2022-03-18 00:00,CHZ,Consolidação (1.8R),100/100,$0.2105,$0.1979 (-6.00%),$0.2333,$0.2459,2022-03-21 04:00,$0.1977,Stop Loss Inicial (Pessimista),"R$ -2,343.46","R$ 86,750.31"
2022-03-21 12:00,AVAX,Tendência (2.5R),100/100,$90.3752,$84.9527 (-6.00%),$103.9314,$112.0652,2022-03-22 16:00,$84.8847,Stop Loss Inicial (Pessimista),"R$ -2,262.35","R$ 84,406.16"
2022-03-21 16:00,ETH,Tendência (2.5R),100/100,$2955.6071,$2955.6071 (-3.34%),$3202.2085,$3350.1693,2022-03-23 00:00,$2953.2426,Stop no Breakeven (Pessimista),R$ -175.63,"R$ 84,288.61"
2022-03-23 16:00,AXS,Tendência (2.5R),100/100,$53.9370,$53.9370 (-5.49%),$61.3418,$65.7848,2022-03-24 00:00 | 2022-03-24 12:00,$61.3418 | $65.7848,Alvo 1 (2.5R) | Alvo 2,"R$ +6,778.62","R$ 91,051.07"
2022-03-18 20:00,ZEC,Tendência (2.5R),100/100,$165.4227,$165.4227 (-6.00%),$190.2361,$205.1241,2022-03-24 16:00 | 2022-03-26 00:00,$190.2361 | $205.1241,Alvo 1 (2.5R) | Alvo 2,"R$ +7,098.91","R$ 98,187.89"
2022-03-28 00:00,AVAX,Consolidação (1.8R),100/100,$89.9249,$89.9249 (-5.53%),$98.8703,$103.8400,2022-03-28 20:00,$89.8530,Stop no Breakeven (Pessimista),R$ -111.29,"R$ 97,986.76"
2022-03-28 00:00,GALA,Tendência (2.5R),100/100,$0.2634,$0.2634 (-5.97%),$0.3027,$0.3263,2022-03-28 20:00,$0.2632,Stop no Breakeven (Pessimista),R$ -103.09,"R$ 97,923.09"
2022-03-24 16:00,ETH,Tendência (2.5R),100/100,$3115.8972,$3115.8972 (-4.31%),$3451.7980,$3653.3384,2022-03-29 08:00 | 2022-03-31 12:00,$3451.7980 | $3349.4800,Alvo 1 (2.5R) | Trailing EMA20,"R$ +4,788.53","R$ 102,779.19"
2022-03-30 16:00,AVAX,Tendência (2.5R),100/100,$97.0485,$91.2256 (-6.00%),$111.6058,$120.3401,2022-04-01 00:00,$91.1526,Stop Loss Inicial (Pessimista),"R$ -2,629.54","R$ 100,189.72"
2022-04-02 04:00,AXS,Consolidação (1.8R),100/100,$72.5362,$68.1841 (-6.00%),$80.3702,$84.7223,2022-04-02 12:00,$68.1295,Stop Loss Inicial (Pessimista),"R$ -2,600.91","R$ 97,553.56"
2022-04-02 04:00,QTUM,Consolidação (1.8R),100/100,$9.0505,$8.5075 (-6.00%),$10.0280,$10.5710,2022-04-02 12:00,$8.5007,Stop Loss Inicial (Pessimista),"R$ -2,599.99","R$ 94,988.82"
2022-04-03 08:00,CRV,Tendência (2.5R),100/100,$2.9895,$2.8101 (-6.00%),$3.4379,$3.7070,2022-04-04 08:00,$2.8079,Stop Loss Inicial (Pessimista),"R$ -2,473.59","R$ 92,515.23"
2022-04-07 12:00,KAVA,Consolidação (1.8R),100/100,$4.6618,$4.6618 (-6.00%),$5.1653,$5.4450,2022-04-08 20:00,$4.6581,Stop no Breakeven (Pessimista),R$ -104.19,"R$ 92,314.62"
2022-04-04 20:00,XMR,Consolidação (1.8R),100/100,$220.2901,$220.2901 (-4.70%),$238.9446,$249.3081,2022-04-09 08:00 | 2022-04-11 08:00,$238.9446 | $220.1139,Alvo 1 (1.8R) | Stop Breakeven 0x0 2ª metade (Pessimista),"R$ +1,901.11","R$ 94,312.15"
2022-07-28 16:00,SUSHI,Consolidação (1.8R),100/100,$1.4777,$1.4777 (-6.00%),$1.6373,$1.7260,2022-07-28 20:00 | 2022-07-29 08:00,$1.6373 | $1.4766,Alvo 1 (1.8R) | Stop Breakeven 0x0 2ª metade (Pessimista),"R$ +2,041.73","R$ 96,282.50"
2022-07-28 16:00,DYDX,Tendência (2.5R),100/100,$2.3372,$2.3372 (-6.00%),$2.6877,$2.8981,2022-07-29 12:00,$2.3353,Stop no Breakeven (Pessimista),R$ -98.50,"R$ 96,213.14"
2022-07-31 12:00,COMP,Tendência (2.5R),100/100,$61.0005,$57.3405 (-6.00%),$70.1506,$75.6406,2022-07-31 20:00,$57.2946,Stop Loss Inicial (Pessimista),"R$ -2,496.99","R$ 93,649.75"
2022-07-31 12:00,AAVE,Tendência (2.5R),100/100,$106.3632,$99.9814 (-6.00%),$122.3176,$131.8903,2022-07-31 20:00,$99.9014,Stop Loss Inicial (Pessimista),"R$ -2,496.14","R$ 91,187.51"
2022-08-01 04:00,DYDX,Tendência (2.5R),100/100,$2.6523,$2.4932 (-6.00%),$3.0502,$3.2889,2022-08-01 08:00,$2.4912,Stop Loss Inicial (Pessimista),"R$ -2,366.08","R$ 88,776.14"
2022-07-31 20:00,APE,Tendência (2.5R),100/100,$7.0815,$6.6566 (-6.00%),$8.1438,$8.7811,2022-08-01 16:00,$6.6513,Stop Loss Inicial (Pessimista),"R$ -2,374.55","R$ 86,433.02"
2022-07-28 16:00,VET,Tendência (2.5R),100/100,$0.0263,$0.0263 (-5.32%),$0.0298,$0.0319,2022-08-02 04:00,$0.0263,Stop no Breakeven (Pessimista),R$ -161.65,"R$ 86,303.33"
2022-08-02 00:00,TRX,Tendência (2.5R),100/100,$0.0698,$0.0678 (-2.86%),$0.0748,$0.0778,2022-08-02 04:00,$0.0678,Stop Loss Inicial (Pessimista),"R$ -2,331.02","R$ 84,028.95"
2022-08-06 00:00,EGLD,Consolidação (1.8R),100/100,$62.6013,$62.6013 (-5.46%),$68.7525,$72.1699,2022-08-09 12:00,$62.5512,Stop no Breakeven (Pessimista),R$ -128.90,"R$ 83,798.44"
2022-08-07 04:00,DYDX,Consolidação (1.8R),100/100,$2.4662,$2.3183 (-6.00%),$2.7326,$2.8806,2022-08-09 12:00,$2.3164,Stop Loss Inicial (Pessimista),"R$ -2,201.27","R$ 81,647.76"
2022-08-07 16:00,ATOM,Tendência (2.5R),100/100,$11.3107,$11.3107 (-5.20%),$12.7823,$13.6653,2022-08-09 12:00,$11.3016,Stop no Breakeven (Pessimista),R$ -113.50,"R$ 81,585.29"
2022-08-10 16:00,XMR,Consolidação (1.8R),100/100,$167.9739,$157.8955 (-6.00%),$186.1151,$196.1936,2022-08-11 20:00,$157.7692,Stop Loss Inicial (Pessimista),"R$ -2,124.60","R$ 79,383.11"
2022-08-10 16:00,XTZ,Tendência (2.5R),100/100,$1.8519,$1.8519 (-5.16%),$2.0908,$2.2341,2022-08-14 16:00,$1.8504,Stop no Breakeven (Pessimista),R$ -139.78,"R$ 79,221.40"
2022-08-14 08:00,GMT,Consolidação (1.8R),100/100,$1.0076,$0.9632 (-4.41%),$1.0875,$1.1320,2022-08-14 16:00,$0.9624,Stop Loss Inicial (Pessimista),"R$ -2,087.85","R$ 77,167.30"
2022-08-14 16:00,TRB,Tendência (2.5R),100/100,$41.9109,$39.3963 (-6.00%),$48.1976,$51.9696,2022-08-14 20:00,$39.3648,Stop Loss Inicial (Pessimista),"R$ -2,000.13","R$ 75,167.17"
2022-08-10 16:00,AVAX,Tendência (2.5R),100/100,$29.5248,$27.7533 (-6.00%),$33.9535,$36.6107,2022-08-15 04:00,$27.7311,Stop Loss Inicial (Pessimista),"R$ -2,157.58","R$ 73,075.36"
2022-08-15 04:00,KNC,Consolidação (1.8R),100/100,$1.7079,$1.6171 (-5.31%),$1.8711,$1.9618,2022-08-16 00:00,$1.6158,Stop Loss Inicial (Pessimista),"R$ -1,913.10","R$ 71,139.43"
2022-08-15 16:00,GTC,Tendência (2.5R),100/100,$3.3697,$3.1675 (-6.00%),$3.8751,$4.1784,2022-08-16 00:00,$3.1650,Stop Loss Inicial (Pessimista),"R$ -1,896.09","R$ 69,266.17"
2022-08-16 08:00,GMT,Tendência (2.5R),100/100,$1.1054,$1.0390 (-6.00%),$1.2712,$1.3706,2022-08-17 00:00,$1.0382,Stop Loss Inicial (Pessimista),"R$ -1,800.97","R$ 67,406.56"
2022-08-16 08:00,XMR,Consolidação (1.8R),100/100,$172.0860,$161.7608 (-6.00%),$190.6713,$200.9964,2022-08-17 08:00,$161.6314,Stop Loss Inicial (Pessimista),"R$ -1,803.17","R$ 65,623.28"
2022-08-16 16:00,ZEC,Consolidação (1.8R),100/100,$75.7679,$72.8865 (-3.80%),$80.9543,$83.8357,2022-08-17 12:00,$72.8282,Stop Loss Inicial (Pessimista),"R$ -1,841.51","R$ 63,820.52"
