symbol,initial_capital,final_capital,net_profit_brl,return_pct,bnh_return_pct,total_trades,winning_trades,losing_trades,breakeven_trades,win_rate_pct,profit_factor,max_drawdown_pct
SOL,200.0,186.17958476242808,-13.820415237571922,-6.910207618785962,3.648484848484854,13,5,8,0,38.46153846153847,0.7967661511028322,25.588308832454565
SUI,200.0,178.8146541893837,-21.185345810616298,-10.592672905308149,-23.893137994182915,12,3,9,0,25.0,0.6082565117132352,19.657260375457152
ILV,200.0,202.61239765247907,2.612397652479075,1.3061988262395374,-18.302387267904507,12,5,7,0,41.66666666666667,1.045762718617149,16.329878563667336
NEAR,200.0,248.5772591635661,48.57725916356611,24.288629581783056,72.09533267130091,11,5,6,0,45.45454545454545,1.8599080550114544,16.312802837321037
APT,200.0,194.7899116180071,-5.210088381992904,-2.605044190996452,-34.988452655889155,6,2,4,0,33.33333333333333,0.7954280175617515,9.942804573423444
GALA,200.0,203.2298893110241,3.2298893110240954,1.6149446555120475,-62.82321899736147,7,3,4,0,42.857142857142854,1.075713048654686,9.979055461654522
INJ,200.0,242.57089533628752,42.57089533628752,21.28544766814376,40.17041996348143,13,6,7,0,46.15384615384615,1.9208771231120232,10.164102989693703
PENDLE,200.0,196.378480123423,-3.621519876576997,-1.8107599382884987,20.302013422818792,13,4,9,0,30.76923076923077,0.9414679518843236,14.769458521816672
TON,200.0,177.67917165851432,-22.32082834148568,-11.16041417074284,17.04462326261888,7,1,6,0,14.285714285714285,0.55290415749896,14.36393735346192
