Data,Ativo,Score,Motivo do Veto,Resultado Simulado,Prejuízo Evitado (R$)
2026-02-20 12:00,SUI,63/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-21 00:00,ILV,71/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-11.88%),R$ 2.00
2026-02-21 08:00,SOL,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-7.10%),R$ 2.00
2026-02-21 08:00,SUI,69/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-8.28%),R$ 2.00
2026-02-21 12:00,SOL,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-8.32%),R$ 2.00
2026-02-23 08:00,SOL,50/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-23 08:00,SUI,29/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-24 12:00,SOL,48/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-24 12:00,SUI,41/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-24 16:00,SOL,46/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-24 20:00,SOL,40/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-25 00:00,SUI,41/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-25 00:00,ILV,44/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-25 08:00,SOL,75/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-25 12:00,SOL,74/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-25 12:00,SUI,58/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-25 12:00,ILV,61/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-25 16:00,ILV,61/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-27 00:00,SOL,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-9.79%),R$ 2.00
2026-02-27 00:00,SUI,48/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-10.42%),R$ 2.00
2026-02-27 04:00,SUI,48/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-9.89%),R$ 2.00
2026-02-27 04:00,ILV,61/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-7.73%),R$ 2.00
2026-02-28 12:00,SOL,40/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 12:00,SUI,31/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 12:00,ILV,50/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 16:00,SUI,41/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 16:00,ILV,67/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 20:00,SOL,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 20:00,ILV,71/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-01 00:00,SOL,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-01 00:00,SUI,48/100,Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1) | BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 00:00,SOL,69/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 12:00,SOL,79/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 12:00,SUI,63/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
