Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2021-11-20 04:00,ZEN,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,105.4,$96.7484,$89.0085 (8.00%),$96.8451,$112.2281,-0.65,2.33,2021-11-21 20:00 | 2021-11-28 00:00,$112.2281 | $99.8500,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 29.50,R$ 53.71,"R$ +1,718.92",1.14,"R$ 101,718.92"
2021-12-04 20:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,112.5,$49219.4080,$53156.9606 (8.00%),$53156.9606,$41344.3027,-0.64,0.83,2021-12-25 20:00,$50403.6400,Time-Stop (21d),R$ 29.04,R$ -111.71,R$ -377.65,-0.25,"R$ 101,341.27"
2021-12-18 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,102.3,$3874.7517,$4184.7318 (8.00%),$3870.8769,$3254.7914,-0.84,2.64,2022-01-07 00:00 | 2022-02-04 04:00,$3254.7914 | $2803.7700,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 31.90,R$ -102.68,"R$ +4,255.11",2.77,"R$ 105,596.38"
2021-12-29 08:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,107.3,$47537.8992,$51340.9311 (8.00%),$47490.3613,$39931.8353,-0.12,1.82,2022-01-10 12:00 | 2022-02-04 12:00,$39931.8353 | $39481.7200,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 31.06,R$ -78.76,"R$ +3,198.74",2.09,"R$ 108,795.11"
2022-02-18 12:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,103.0,$2876.2711,$3106.3728 (8.00%),$2873.3949,$2416.0678,0.0,2.09,2022-02-24 00:00 | 2022-02-26 00:00,$2416.0678 | $2875.6936,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 32.22,R$ -9.70,"R$ +1,631.78",0.99,"R$ 110,426.90"
2022-02-18 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,105.4,$40656.6615,$43909.1944 (8.00%),$43909.1944,$34151.5957,-0.77,1.77,2022-02-28 20:00,$43944.3218,Stop Loss Inicial,R$ 32.24,R$ 1.79,"R$ -1,704.27",-1.03,"R$ 108,722.63"
2022-03-05 16:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,108.4,$39114.2331,$42243.3717 (8.00%),$42243.3717,$32855.9558,-0.97,0.58,2022-03-09 08:00,$42277.1664,Stop Loss Inicial,R$ 32.27,R$ -7.02,"R$ -1,697.55",-1.03,"R$ 107,025.08"
2022-03-14 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,95.1,$38102.6392,$40499.2500 (6.29%),$40499.2500,$33309.4175,-0.68,0.0,2022-03-16 00:00,$40531.6494,Stop Loss Inicial,R$ 40.13,R$ -6.73,"R$ -1,686.37",-1.03,"R$ 105,338.71"
2022-03-05 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,104.8,$2622.6280,$2832.4383 (8.00%),$2832.4383,$2203.0075,-0.85,0.78,2022-03-17 12:00,$2834.7042,Stop Loss Inicial,R$ 32.28,R$ -34.00,"R$ -1,670.68",-1.01,"R$ 103,668.04"
2022-04-05 00:00,MIR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,123.7,$1.9590,$1.8023 (8.00%),$1.8023,$2.2724,-0.99,1.12,2022-04-06 00:00,$1.8008,Stop Loss Inicial,R$ 15.47,R$ 2.89,R$ -818.61,-1.03,"R$ 102,849.43"
2022-04-18 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,97.7,$39768.4059,$41301.7679 (3.86%),$41301.7679,$36701.6818,-0.59,0.52,2022-04-18 16:00,$41334.8093,Stop Loss Inicial,R$ 31.28,R$ 4.54,R$ -841.32,-1.07,"R$ 102,008.11"
2022-04-18 16:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,102.2,$39219.5804,$41335.9500 (5.40%),$41335.9500,$34986.8412,-1.05,0.0,2022-04-19 12:00,$41369.0188,Stop Loss Inicial,R$ 22.34,R$ -2.45,R$ -814.37,-1.04,"R$ 101,193.74"
2022-04-27 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,108.1,$38305.6376,$41370.0886 (8.00%),$38267.3320,$32176.7356,-0.54,1.95,2022-05-09 12:00 | 2022-05-30 04:00,$32176.7356 | $30625.3000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 15.89,R$ -25.86,"R$ +1,761.15",2.27,"R$ 102,954.88"
