Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2026-03-04 04:00,LINK,Consolidação (1.8R),75/100,$8.9100,$8.9100 (-8.10%),$10.2092,$10.9310,2026-03-06 12:00,$8.9100,Stop no Breakeven,R$ -0.19,R$ 199.63
2026-03-04 04:00,BNB,Consolidação (1.8R),75/100,$640.0100,$640.0100 (-5.93%),$708.3348,$746.2930,2026-03-18 04:00,$673.9800,Time-Stop (14d),R$ +8.69,R$ 208.35
2026-03-04 08:00,SOL,Consolidação (1.8R),79/100,$89.7600,$78.0568 (-13.04%),$110.8258,$122.5290,2026-03-18 08:00,$92.0000,Time-Stop (14d),R$ +1.80,R$ 210.20
2026-03-13 00:00,LINK,Consolidação (1.8R),84/100,$9.2900,$9.2900 (-7.78%),$10.5905,$11.3130,2026-03-18 12:00,$9.2900,Stop no Breakeven,R$ -0.19,R$ 210.11
2026-03-18 20:00,APT,Consolidação (1.8R),75/100,$0.9900,$0.9900 (-8.97%),$1.1499,$1.2387,2026-03-27 08:00,$0.9900,Stop no Breakeven,R$ -0.18,R$ 209.75
2026-03-23 08:00,SOL,Consolidação (1.8R),79/100,$88.7800,$82.2729 (-7.33%),$100.4929,$107.0000,2026-03-27 16:00,$82.2729,Stop Loss Inicial,R$ -10.70,R$ 199.16
2026-03-20 00:00,RENDER,Consolidação (1.8R),80/100,$1.7450,$1.5490 (-11.23%),$2.0979,$2.2939,2026-04-03 00:00,$1.8990,Time-Stop (14d),R$ +8.10,R$ 207.33
2026-04-05 20:00,AVAX,Consolidação (1.8R),75/100,$9.0600,$9.0600 (-5.74%),$9.9966,$10.5170,2026-04-06 20:00,$9.0600,Stop no Breakeven,R$ -0.27,R$ 206.85
2026-04-07 16:00,ETH,Consolidação (1.8R),92/100,$2113.3900,$2113.3900 (-5.35%),$2316.9867,$2430.0960,2026-04-07 20:00,$2113.3900,Stop no Breakeven,R$ -0.29,R$ 206.56
2026-04-05 20:00,ARB,Consolidação (1.8R),75/100,$0.0942,$0.0942 (-7.09%),$0.1062,$0.1129,2026-04-08 20:00 | 2026-04-10 20:00,$0.1062 | $0.1129,Alvo 1 (1.8R) | Alvo 2,R$ +23.58,R$ 230.20
2026-04-05 20:00,RENDER,Consolidação (1.8R),84/100,$1.9030,$1.9030 (-7.65%),$2.1650,$2.3106,2026-04-12 04:00,$1.9030,Stop no Breakeven,R$ -0.20,R$ 230.02
2026-04-12 16:00,NEAR,Tendência (2.5R),82/100,$1.3560,$1.3560 (-5.83%),$1.5537,$1.6723,2026-04-14 16:00,$1.3560,Stop no Breakeven,R$ -0.30,R$ 229.72
2026-04-10 20:00,TON,Tendência (2.5R),88/100,$1.3070,$1.3070 (-11.09%),$1.6693,$1.8867,2026-04-19 00:00,$1.3070,Stop no Breakeven,R$ -0.16,R$ 229.52
2026-04-07 20:00,FET,Consolidação (1.8R),92/100,$0.2501,$0.2114 (-15.47%),$0.3198,$0.3585,2026-04-19 20:00,$0.2114,Stop Loss Inicial,R$ -10.42,R$ 219.07
2026-04-15 00:00,LINK,Tendência (2.5R),82/100,$9.0700,$9.0700 (-7.14%),$10.6896,$11.6614,2026-04-19 20:00,$9.0700,Stop no Breakeven,R$ -0.24,R$ 218.95
2026-04-19 04:00,TIA,Tendência (2.5R),86/100,$0.3975,$0.3549 (-10.72%),$0.5040,$0.5679,2026-04-23 00:00,$0.3549,Stop Loss Inicial,R$ -11.63,R$ 207.14
2026-04-20 00:00,INJ,Tendência (2.5R),86/100,$3.2780,$3.2780 (-6.84%),$3.8384,$4.1747,2026-04-26 04:00 | 2026-04-26 04:00,$3.8384 | $4.1747,Alvo 1 (2.5R) | Alvo 2,R$ +35.31,R$ 242.49
2026-04-26 04:00,PENDLE,Consolidação (1.8R),96/100,$1.2970,$1.2970 (-5.55%),$1.4266,$1.4986,2026-04-27 12:00,$1.2970,Stop no Breakeven,R$ -0.33,R$ 242.16
2026-04-23 12:00,ARB,Tendência (2.5R),100/100,$0.1288,$0.1177 (-8.60%),$0.1565,$0.1731,2026-05-03 08:00,$0.1177,Stop Loss Inicial,R$ -10.53,R$ 231.60
2026-05-03 08:00,ETH,Consolidação (1.8R),91/100,$2319.6300,$2319.6300 (-2.94%),$2442.4916,$2510.7480,2026-05-04 00:00,$2319.6300,Stop no Breakeven,R$ -0.59,R$ 231.01
2026-04-20 12:00,SOL,Consolidação (1.8R),92/100,$85.8600,$80.8346 (-5.85%),$94.9056,$99.9310,2026-05-04 12:00,$84.4700,Time-Stop (14d),R$ -3.30,R$ 227.72
2026-05-04 20:00,TIA,Consolidação (1.8R),95/100,$0.3584,$0.3584 (-8.23%),$0.4115,$0.4410,2026-05-08 08:00 | 2026-05-08 16:00,$0.4115 | $0.4410,Alvo 1 (1.8R) | Alvo 2,R$ +25.96,R$ 253.68
2026-04-27 12:00,AAVE,Tendência (2.5R),91/100,$97.2200,$89.7411 (-7.69%),$115.9173,$127.1357,2026-05-11 12:00,$101.8200,Time-Stop (14d),R$ +7.21,R$ 260.78
2026-05-04 00:00,PEPE,Tendência (2.5R),100/100,$0.0000,$0.0000 (-7.06%),$0.0000,$0.0000,2026-05-12 12:00,$0.0000,Stop no Breakeven,R$ -0.25,R$ 260.59
2026-05-11 12:00,ONDO,Tendência (2.5R),91/100,$0.4337,$0.3749 (-13.57%),$0.5808,$0.6691,2026-05-14 00:00,$0.3749,Stop Loss Inicial,R$ -13.17,R$ 247.40
2026-05-14 12:00,AVAX,Tendência (2.5R),96/100,$10.0500,$9.3168 (-7.30%),$11.8830,$12.9829,2026-05-16 04:00,$9.3168,Stop Loss Inicial,R$ -12.61,R$ 234.78
2026-05-08 16:00,BNB,Tendência (2.5R),92/100,$648.0900,$648.0900 (-4.18%),$715.8239,$756.4643,2026-05-17 20:00,$648.0900,Stop no Breakeven,R$ -0.46,R$ 234.49
2026-05-12 16:00,NEAR,Tendência (2.5R),100/100,$1.6020,$1.6020 (-11.24%),$2.0522,$2.3223,2026-05-22 00:00 | 2026-05-22 12:00,$2.0522 | $2.3223,Alvo 1 (2.5R) | Alvo 2,R$ +42.14,R$ 276.67
2026-05-18 20:00,ONDO,Tendência (2.5R),91/100,$0.3862,$0.3862 (-18.43%),$0.5641,$0.6708,2026-05-22 20:00,$0.3862,Stop no Breakeven,R$ -0.10,R$ 276.62
2026-05-17 04:00,INJ,Tendência (2.5R),96/100,$4.9260,$4.9260 (-13.15%),$6.5460,$7.5180,2026-05-23 04:00,$4.9260,Stop no Breakeven,R$ -0.13,R$ 276.55
2026-05-23 16:00,RENDER,Consolidação (1.8R),84/100,$1.9280,$1.9280 (-13.91%),$2.4106,$2.6787,2026-05-26 08:00 | 2026-05-27 20:00,$2.4106 | $2.1200,Alvo 1 (1.8R) | Trailing EMA20,R$ +17.23,R$ 293.67
2026-05-23 12:00,INJ,Consolidação (1.8R),84/100,$5.2900,$5.2900 (-19.04%),$7.1029,$8.1100,2026-06-01 16:00 | 2026-06-02 16:00,$7.1029 | $6.6300,Alvo 1 (1.8R) | Trailing EMA20,R$ +21.51,R$ 315.24
2026-05-23 12:00,ONDO,Consolidação (1.8R),84/100,$0.4169,$0.3372 (-19.11%),$0.5603,$0.6399,2026-06-05 12:00,$0.3372,Stop Loss Inicial,R$ -13.93,R$ 301.37
2026-07-06 04:00,AAVE,Consolidação (1.8R),78/100,$90.7900,$90.7900 (-7.14%),$102.4540,$108.9340,2026-07-07 12:00,$90.7900,Stop no Breakeven,R$ -0.32,R$ 300.71
2026-07-06 12:00,SOL,Consolidação (1.8R),88/100,$81.5000,$77.3368 (-5.11%),$88.9938,$93.1570,2026-07-08 08:00,$77.3368,Stop Loss Inicial,R$ -15.49,R$ 285.45
2026-07-06 00:00,INJ,Consolidação (1.8R),75/100,$4.8990,$4.4295 (-9.58%),$5.7440,$6.2135,2026-07-20 00:00,$5.1390,Time-Stop (14d),R$ +7.46,R$ 292.75
2026-07-10 00:00,ETH,Consolidação (1.8R),84/100,$1776.1200,$1776.1200 (-5.80%),$1961.6492,$2064.7210,2026-07-24 00:00,$1880.6700,Time-Stop (14d),R$ +14.10,R$ 306.78
2026-07-10 00:00,AAVE,Consolidação (1.8R),84/100,$93.6400,$82.6661 (-11.72%),$113.3931,$124.3670,2026-07-24 00:00,$95.4700,Time-Stop (14d),R$ +2.19,R$ 309.07
2026-07-24 04:00,AAVE,Consolidação (1.8R),82/100,$96.3300,$91.7714 (-4.73%),$104.5354,$109.0940,2026-07-25 00:00,$91.7714,Stop Loss Inicial,R$ -15.92,R$ 292.86
2026-07-24 04:00,LINK,Consolidação (1.8R),82/100,$8.5630,$8.5630 (-4.05%),$9.1870,$9.5336,2026-07-27 12:00,$8.5630,Stop no Breakeven,R$ -0.57,R$ 292.46
2026-07-20 00:00,SOL,Consolidação (1.8R),91/100,$76.7600,$73.4286 (-4.34%),$82.7566,$86.0880,2026-07-28 00:00,$73.4286,Stop Loss Inicial,R$ -15.13,R$ 277.58
2026-07-28 12:00,AAVE,Consolidação (1.8R),84/100,$100.3100,$92.5325 (-7.75%),$114.3095,$122.0870,2026-08-01 00:00,$92.5325,Stop Loss Inicial,R$ -14.14,R$ 263.13
2026-07-25 12:00,AVAX,Consolidação (1.8R),75/100,$6.5800,$5.9658 (-9.33%),$7.6856,$8.2998,2026-08-08 12:00,$6.5440,Time-Stop (14d),R$ -1.09,R$ 262.04
2026-07-30 00:00,BNB,Consolidação (1.8R),79/100,$573.4200,$573.4200 (-3.32%),$607.7312,$626.7930,2026-08-08 12:00 | 2026-08-10 16:00,$607.7312 | $600.6900,Alvo 1 (1.8R) | Trailing EMA20,R$ +21.77,R$ 283.98
2026-08-10 16:00,OP,Consolidação (1.8R),75/100,$0.0918,$0.0855 (-6.88%),$0.1032,$0.1095,2026-08-12 20:00,$0.0855,Stop Loss Inicial,R$ -14.50,R$ 269.48
2026-08-02 00:00,PEPE,Consolidação (1.8R),87/100,$0.0000,$0.0000 (-8.93%),$0.0000,$0.0000,2026-08-14 12:00,$0.0000,Stop Loss Inicial,R$ -13.37,R$ 255.96
2026-08-08 12:00,PENDLE,Consolidação (1.8R),83/100,$1.4070,$1.3041 (-7.31%),$1.5921,$1.6950,2026-08-14 16:00,$1.3041,Stop Loss Inicial,R$ -13.99,R$ 242.11
2026-08-14 16:00,LINK,Consolidação (1.8R),79/100,$8.9890,$8.9890 (-5.62%),$9.8976,$10.4023,2026-08-15 00:00,$8.9890,Stop no Breakeven,R$ -0.32,R$ 241.79
