Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2026-07-28 12:00,AAVE,Consolidação (1.8R),84/100,$100.3100,$92.5325 (-7.75%),$114.3095,$122.0870,2026-08-01 00:00,$92.5325,Stop Loss Inicial,R$ -15.43,R$ 287.52
2026-07-28 08:00,GPS,Consolidação (1.8R),79/100,$0.0094,$0.0086 (-8.52%),$0.0108,$0.0116,2026-08-03 12:00,$0.0086,Stop Loss Inicial,R$ -15.41,R$ 272.12
2026-07-28 00:00,XUSD,Consolidação (1.8R),80/100,$1.0012,$0.9862 (-1.50%),$1.0282,$1.0433,2026-08-11 00:00,$1.0009,Time-Stop (14d),R$ -1.38,R$ 271.09
2026-08-02 00:00,PEPE,Consolidação (1.8R),87/100,$0.0000,$0.0000 (-8.93%),$0.0000,$0.0000,2026-08-14 12:00,$0.0000,Stop Loss Inicial,R$ -14.61,R$ 256.38
2026-08-11 00:00,LINK,Consolidação (1.8R),84/100,$8.3910,$8.3910 (-4.49%),$9.0686,$9.4450,2026-08-15 00:00 | 2026-08-15 00:00,$9.0686 | $9.4450,Alvo 1 (1.8R) | Alvo 2,R$ +30.70,R$ 286.82
2026-08-03 12:00,BNB,Consolidação (1.8R),92/100,$592.5400,$592.5400 (-4.53%),$640.8661,$667.7140,2026-08-17 12:00,$607.1600,Time-Stop (14d),R$ +6.95,R$ 293.93
2026-08-14 12:00,USDE,Consolidação (1.8R),84/100,$1.0010,$0.9860 (-1.50%),$1.0280,$1.0430,2026-08-19 00:00,$0.9860,Stop Loss Inicial,R$ -10.57,R$ 283.81
2026-08-15 00:00,PLUME,Consolidação (1.8R),84/100,$0.0130,$0.0110 (-14.74%),$0.0164,$0.0183,2026-08-19 20:00,$0.0131,Fechamento Fim do Período (MtM),R$ +0.98,R$ 284.33
2026-08-17 12:00,EDEN,Consolidação (1.8R),96/100,$0.0542,$0.0371 (-31.62%),$0.0851,$0.1023,2026-08-19 20:00,$0.0563,Fechamento Fim do Período (MtM),R$ +1.66,R$ 286.02
2026-08-19 00:00,EURI,Tendência (2.5R),96/100,$1.1587,$1.1413 (-1.50%),$1.2022,$1.2282,2026-08-19 20:00,$1.1681,Fechamento Fim do Período (MtM),R$ +4.69,R$ 291.24
