Data,Ativo,Score,Motivo do Veto,Resultado Simulado,Prejuízo Evitado (R$)
2026-02-20 00:00,RENDER,67/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 00:00,TIA,46/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 00:00,GALA,40/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 04:00,AVAX,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 04:00,RENDER,79/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 08:00,INJ,61/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,NEAR,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,SUI,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,APT,48/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,OP,66/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,ONDO,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,LINK,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,INJ,69/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,TIA,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,PEPE,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 12:00,GALA,68/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 16:00,BNB,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 16:00,LINK,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-20 20:00,NEAR,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 00:00,NEAR,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 00:00,OP,58/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 00:00,INJ,69/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 04:00,NEAR,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 04:00,ARB,48/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 04:00,AAVE,54/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 04:00,TIA,71/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-11.42%),R$ 10.00
2026-02-21 04:00,PEPE,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-9.43%),R$ 10.00
2026-02-21 08:00,SOL,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-7.10%),R$ 10.00
2026-02-21 08:00,BNB,71/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-6.50%),R$ 10.00
2026-02-21 08:00,AVAX,71/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-7.19%),R$ 10.00
2026-02-21 08:00,SUI,71/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-8.28%),R$ 10.00
2026-02-21 08:00,FET,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-8.39%),R$ 10.00
2026-02-21 08:00,ONDO,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-8.83%),R$ 10.00
2026-02-21 08:00,LINK,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-8.40%),R$ 10.00
2026-02-21 08:00,AAVE,71/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00"
2026-02-21 08:00,PENDLE,71/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-9.74%),R$ 10.00
2026-02-21 08:00,TIA,75/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-12.46%),R$ 10.00
2026-02-21 12:00,SOL,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 10.00 (-8.32%),R$ 10.00
