Data,Ativo,Score,Motivo do Veto,Resultado Simulado,Prejuízo Evitado (R$)
2026-02-20 00:00,GALA,36/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-20 12:00,NEAR,75/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-20 12:00,APT,46/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-20 12:00,GALA,64/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-20 20:00,NEAR,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-21 00:00,NEAR,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-21 04:00,NEAR,65/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-22 20:00,APT,46/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Prejuízo evitado: -R$ 2.00 (-5.49%),R$ 2.00
2026-02-23 08:00,GALA,42/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-24 12:00,APT,38/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-24 12:00,GALA,44/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-25 00:00,NEAR,62/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-25 08:00,NEAR,79/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-25 08:00,APT,67/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-26 20:00,NEAR,69/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-27 00:00,APT,63/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-27 04:00,NEAR,69/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-27 04:00,APT,64/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-27 04:00,GALA,61/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Prejuízo evitado: -R$ 2.00 (-11.40%),R$ 2.00
2026-02-28 16:00,NEAR,79/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Alvo 1 atingido (Oportunidade filtrada pelo protocolo),"R$ 0,00"
2026-02-28 16:00,APT,63/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 16:00,GALA,54/100,BTC perdeu suporte macro (abaixo da EMA 50 1D) | Preço abaixo da EMA 50 4h sem volume agressor,Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 20:00,NEAR,79/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-02-28 20:00,APT,69/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-01 04:00,NEAR,69/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 00:00,NEAR,88/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 00:00,APT,63/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 04:00,NEAR,70/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-02 12:00,APT,73/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-03 04:00,APT,67/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-03 16:00,APT,67/100,BTC perdeu suporte macro (abaixo da EMA 50 1D),Consolidação sem atingir alvo/stop,"R$ 0,00"
2026-03-04 00:00,NEAR,73/100,Score insuficiente (73/100 < 75),Consolidação sem atingir alvo/stop,"R$ 0,00"
