Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2020-08-30 00:00,TRX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,99.9,$0.0249,$0.0229 (8.00%),$0.0250,$0.0289,0.0,5.3,2020-08-31 12:00 | 2020-09-06 00:00,$0.0289 | $0.0284,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 35.64,R$ -65.80,"R$ +3,347.41",1.89,"R$ 117,211.09"
2020-09-17 04:00,ONT,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,110.1,$0.8058,$0.7413 (8.00%),$0.7413,$0.9347,-1.2,0.67,2020-09-20 12:00,$0.7407,Stop Loss Inicial,R$ 36.06,R$ -99.00,"R$ -1,802.81",-0.98,"R$ 115,408.28"
2020-09-17 04:00,BNB,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,105.4,$27.6588,$25.4461 (8.00%),$25.4461,$32.0842,-0.75,0.24,2020-09-20 20:00,$25.4258,Stop Loss Inicial,R$ 36.06,R$ -2.92,"R$ -1,898.62",-1.03,"R$ 113,509.67"
2020-09-17 16:00,NEO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,124.6,$23.8799,$21.9695 (8.00%),$21.9695,$27.7007,-1.42,0.94,2020-09-21 08:00,$21.9520,Stop Loss Inicial,R$ 36.07,R$ -26.70,"R$ -1,875.43",-1.01,"R$ 111,634.23"
2020-09-18 04:00,ETH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ETH,100.5,$387.3836,$356.3929 (8.00%),$356.3929,$449.3650,-1.13,0.0,2020-09-21 08:00,$356.1078,Stop Loss Inicial,R$ 36.06,R$ 17.85,"R$ -1,919.60",-1.04,"R$ 109,714.63"
2020-09-29 04:00,BNB,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,114.9,$26.9825,$24.8239 (8.00%),$27.0095,$31.2997,-0.42,1.98,2020-10-13 00:00 | 2020-10-20 12:00,$31.2997 | $28.8710,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 17.24,R$ -488.26,"R$ +1,720.87",1.98,"R$ 111,435.50"
2020-10-19 12:00,ETH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ETH,99.0,$375.9879,$359.9686 (4.26%),$376.3639,$408.0266,-0.5,2.48,2020-10-22 08:00 | 2020-10-28 16:00,$408.0266 | $384.6700,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 31.89,R$ 118.57,R$ +970.57,1.1,"R$ 112,406.07"
2020-11-07 04:00,LINK,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,111.2,$12.9014,$11.8693 (8.00%),$11.8693,$14.9657,-1.11,0.54,2020-11-07 16:00,$11.8598,Stop Loss Inicial,R$ 35.14,R$ 46.10,"R$ -1,899.14",-1.05,"R$ 110,506.93"
2020-10-18 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,110.3,$11370.2223,$10972.2645 (3.50%),$11381.5925,$12166.1378,0.0,10.05,2020-10-21 00:00 | 2020-11-26 12:00,$12166.1378 | $16919.0000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 43.08,R$ 386.75,"R$ +6,601.65",7.48,"R$ 117,108.58"
2020-12-06 04:00,ETH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ETH,97.1,$597.7787,$549.9564 (8.00%),$549.9564,$693.4233,-0.89,0.09,2020-12-08 20:00,$549.5165,Stop Loss Inicial,R$ 36.39,R$ 24.77,"R$ -1,943.85",-1.04,"R$ 115,164.73"
2020-12-04 08:00,XMR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,97.7,$133.9970,$123.2772 (8.00%),$134.1310,$155.4365,-0.69,2.09,2020-12-14 12:00 | 2021-01-01 16:00,$155.4365 | $140.7500,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 36.82,R$ 129.53,"R$ +2,287.12",1.23,"R$ 117,451.85"
2020-11-30 00:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,117.3,$18189.5202,$16734.3586 (8.00%),$18207.7097,$21099.8434,-0.37,7.98,2020-12-16 20:00 | 2021-01-11 12:00,$21099.8434 | $31618.4900,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 42.84,"R$ 1,164.26","R$ +9,268.32",4.97,"R$ 126,720.17"
2021-01-23 04:00,ADA,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,126.8,$0.3504,$0.3224 (8.00%),$0.3224,$0.4064,-1.09,0.57,2021-01-27 08:00,$0.3221,Stop Loss Inicial,R$ 39.48,R$ 112.17,"R$ -2,194.34",-1.08,"R$ 124,525.82"
2021-01-29 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,113.5,$33770.7369,$31069.0780 (8.00%),$33804.5077,$39174.0548,-0.35,4.52,2021-02-06 00:00 | 2021-02-23 08:00,$39174.0548 | $46377.0700,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 42.31,"R$ 1,450.36","R$ +5,143.07",2.58,"R$ 129,668.89"
2021-02-25 12:00,DOGE,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,106.0,$0.0553,$0.0509 (8.00%),$0.0509,$0.0641,-1.22,0.0,2021-02-25 20:00,$0.0508,Stop Loss Inicial,R$ 39.96,R$ -15.86,"R$ -2,091.50",-1.02,"R$ 127,577.39"
