Data Entrada,Ativo,Regime,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2026-03-14 20:00,NEAR,Consolidação Adaptativa (1.8R),$1.3250,$1.3250 (-5.70%),$1.4610,$1.5366,2026-03-16 20:00 | 2026-03-18 12:00,$1.4610 | $1.3860,"Alvo 1 Atingido (1.8R - 50% Realizado, Stop no Breakeven) | Saída Trailing: Fechamento 4h abaixo da EMA 20",R$ +2.61,R$ 202.61
2026-03-16 00:00,GALA,Tendência Forte (2.5R),$0.0036,$0.0032 (-10.68%),$0.0045,$0.0051,2026-03-21 20:00,$0.0032,Stop Loss Inicial Atingido (100%),R$ -2.00,R$ 200.61
2026-03-23 16:00,APT,Consolidação Adaptativa (1.8R),$1.0060,$0.8595 (-14.56%),$1.2697,$1.4162,2026-04-02 04:00,$0.8595,Stop Loss Inicial Atingido (100%),R$ -2.01,R$ 198.60
2026-04-07 16:00,NEAR,Tendência Forte (2.5R),$1.2620,$1.2620 (-6.41%),$1.4641,$1.5854,2026-04-21 16:00,$1.3560,Time-Stop (14 Dias Estagnado sem atingir Alvo 1),R$ +2.31,R$ 200.91
2026-04-09 04:00,GALA,Tendência Forte (2.5R),$0.0031,$0.0031 (-13.43%),$0.0041,$0.0048,2026-04-23 04:00,$0.0032,Time-Stop (14 Dias Estagnado sem atingir Alvo 1),R$ +0.33,R$ 201.24
2026-04-21 20:00,NEAR,Consolidação Adaptativa (1.8R),$1.3850,$1.2931 (-6.63%),$1.5504,$1.6423,2026-04-29 16:00,$1.2931,Stop Loss Inicial Atingido (100%),R$ -2.01,R$ 199.23
2026-05-04 00:00,NEAR,Tendência Forte (2.5R),$1.2970,$1.2970 (-4.66%),$1.4480,$1.5386,2026-05-06 08:00 | 2026-05-06 20:00,$1.4480 | $1.5386,"Alvo 1 Atingido (2.5R - 50% Realizado, Stop no Breakeven) | Alvo 2 Atingido (50% Final)",R$ +6.48,R$ 205.71
2026-04-23 12:00,APT,Consolidação Adaptativa (1.8R),$0.9580,$0.9580 (-6.26%),$1.0660,$1.1260,2026-05-07 12:00,$1.0050,Time-Stop (14 Dias Estagnado sem atingir Alvo 1),R$ +1.58,R$ 207.29
2026-05-10 08:00,GALA,Tendência Forte (2.5R),$0.0041,$0.0038 (-8.52%),$0.0050,$0.0055,2026-05-12 12:00,$0.0038,Stop Loss Inicial Atingido (100%),R$ -2.07,R$ 205.21
2026-05-08 00:00,NEAR,Tendência Forte (2.5R),$1.4820,$1.4820 (-8.41%),$1.7935,$1.9804,2026-05-16 08:00,$1.4820,Stop no Breakeven Atingido (+1.0R protegido - 0x0),R$ +0.00,R$ 205.21
2026-05-17 08:00,NEAR,Consolidação Adaptativa (1.8R),$1.5530,$1.5530 (-8.27%),$1.7842,$1.9127,2026-05-21 08:00 | 2026-05-21 16:00,$1.7842 | $1.9127,"Alvo 1 Atingido (1.8R - 50% Realizado, Stop no Breakeven) | Alvo 2 Atingido (50% Final)",R$ +4.72,R$ 209.93
2026-05-27 16:00,NEAR,Consolidação Adaptativa (1.8R),$2.6720,$2.2125 (-17.20%),$3.4992,$3.9587,2026-06-04 20:00,$2.2125,Stop Loss Inicial Atingido (100%),R$ -2.10,R$ 207.83
2026-07-06 12:00,NEAR,Consolidação Adaptativa (1.8R),$2.0770,$1.8384 (-11.49%),$2.5065,$2.7451,2026-07-20 12:00,$1.9820,Time-Stop (14 Dias Estagnado sem atingir Alvo 1),R$ -0.83,R$ 207.01
2026-07-20 12:00,NEAR,Tendência Forte (2.5R),$1.9820,$1.8502 (-6.65%),$2.3114,$2.5090,2026-07-24 12:00,$1.8502,Stop Loss Inicial Atingido (100%),R$ -2.07,R$ 204.94
2026-07-15 12:00,APT,Consolidação Adaptativa (1.8R),$0.6280,$0.5715 (-9.00%),$0.7298,$0.7863,2026-07-29 00:00,$0.5715,Stop Loss Inicial Atingido (100%),R$ -2.08,R$ 202.86
2026-08-02 04:00,NEAR,Consolidação Adaptativa (1.8R),$1.7180,$1.5938 (-7.23%),$1.9416,$2.0659,2026-08-07 16:00,$1.5938,Stop Loss Inicial Atingido (100%),R$ -2.03,R$ 200.83
2026-08-08 12:00,GALA,Consolidação Adaptativa (1.8R),$0.0018,$0.0017 (-5.93%),$0.0020,$0.0021,2026-08-11 12:00,$0.0017,Stop Loss Inicial Atingido (100%),R$ -2.01,R$ 198.82
2026-08-18 12:00,NEAR,Consolidação Adaptativa (1.8R),$1.6340,$1.6340 (-4.55%),$1.7679,$1.8423,2026-08-19 20:00 | 2026-08-19 20:00,$1.7679 | $1.7390,"Alvo 1 Atingido (1.8R - 50% Realizado, Stop no Breakeven) | Fechamento no Fim do Período de Teste (Mark-to-Market)",R$ +3.19,R$ 202.01
