Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2023-10-01 08:00,API3,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,94.7,$1.1279,$1.0827 (4.00%),$1.0827,$1.2181,-0.0,1.18,2023-10-02 16:00,$1.0819,Stop Loss Inicial,R$ 57.40,R$ 11.68,"R$ -1,598.01",-1.07,"R$ 98,401.99"
2023-10-01 12:00,FET,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,118.4,$0.2313,$0.2128 (8.00%),$0.2128,$0.2683,-0.91,0.32,2023-10-04 00:00,$0.2126,Stop Loss Inicial,R$ 29.26,R$ 14.48,"R$ -1,557.26",-1.04,"R$ 96,844.73"
2023-10-06 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,118.4,$27558.5724,$26594.0224 (3.50%),$26594.0224,$29487.6725,-0.83,0.51,2023-10-11 16:00,$26572.7471,Stop Loss Inicial,R$ 63.42,R$ 25.02,"R$ -1,574.23",-1.08,"R$ 95,270.50"
2023-10-06 20:00,INJ,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,95.7,$7.8009,$7.1768 (8.00%),$7.1768,$9.0490,-0.92,0.13,2023-10-12 08:00,$7.1711,Stop Loss Inicial,R$ 28.35,R$ -5.67,"R$ -1,489.17",-1.02,"R$ 93,781.33"
2023-10-12 08:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,122.1,$1557.8607,$1612.3858 (3.50%),$1612.3858,$1448.8104,-0.44,0.5,2023-10-16 12:00,$1613.6757,Stop Loss Inicial,R$ 30.70,R$ -10.45,R$ -740.72,-1.05,"R$ 93,040.62"
2023-10-06 04:00,SFP,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,96.8,$0.5923,$0.5449 (8.00%),$0.5929,$0.6871,-0.32,2.15,2023-10-24 00:00 | 2023-11-07 08:00,$0.6871 | $0.6918,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 29.48,R$ 41.62,"R$ +2,908.05",2.0,"R$ 95,948.67"
2023-10-15 08:00,INJ,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,101.2,$7.6128,$7.3083 (4.00%),$7.6204,$8.2218,0.0,17.5,2023-10-18 16:00 | 2023-11-17 12:00,$8.2218 | $15.1980,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 33.49,R$ 123.65,"R$ +9,312.11",13.23,"R$ 105,260.78"
2023-10-16 12:00,LINK,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,109.9,$7.5658,$7.1248 (5.83%),$7.5733,$8.4478,-0.63,10.11,2023-10-21 12:00 | 2023-11-17 12:00,$8.4478 | $12.9570,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 21.69,R$ 123.01,"R$ +4,821.04",6.91,"R$ 110,081.82"
2023-10-15 04:00,TRX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,115.7,$0.0850,$0.0816 (4.00%),$0.0851,$0.0918,0.0,3.72,2023-10-20 08:00 | 2023-11-20 20:00,$0.0918 | $0.1009,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 28.16,R$ 81.25,"R$ +2,240.20",3.18,"R$ 112,322.02"
2023-11-17 12:00,CELO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.7,$0.5393,$0.5052 (6.32%),$0.5052,$0.6075,-0.65,0.31,2023-11-21 12:00,$0.5048,Stop Loss Inicial,R$ 40.82,R$ 40.44,"R$ -1,768.26",-1.06,"R$ 110,553.76"
2023-11-19 16:00,ICP,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,100.8,$4.5763,$4.2102 (8.00%),$4.2102,$5.3085,-0.63,0.02,2023-11-21 12:00,$4.2068,Stop Loss Inicial,R$ 32.52,R$ 10.26,"R$ -1,725.05",-1.03,"R$ 108,828.71"
2023-11-20 00:00,XVS,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.2,$7.0635,$6.4984 (8.00%),$6.4984,$8.1937,-1.08,0.95,2023-11-21 20:00,$6.4932,Stop Loss Inicial,R$ 32.51,R$ 13.21,"R$ -1,727.70",-1.04,"R$ 107,101.01"
2023-11-23 00:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,112.3,$37432.2067,$34620.8821 (7.51%),$37469.6390,$43054.8560,-0.25,2.28,2023-12-05 16:00 | 2023-12-13 00:00,$43054.8560 | $40858.5000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 17.09,R$ 61.11,"R$ +1,220.69",1.51,"R$ 108,321.71"
2023-11-22 20:00,ETH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ETH,97.1,$2078.3787,$1912.1084 (8.00%),$1912.1084,$2410.9193,-0.5,1.85,2023-12-13 20:00,$2261.4400,Time-Stop (21d),R$ 15.80,R$ 80.01,R$ +792.83,0.98,"R$ 109,114.53"
2023-11-23 00:00,MAGIC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,109.3,$0.7099,$0.6531 (8.00%),$0.7106,$0.8234,-0.68,2.34,2023-11-25 00:00 | 2023-12-15 20:00,$0.8234 | $0.8517,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 16.49,R$ 62.38,"R$ +1,736.03",2.15,"R$ 110,850.56"
2023-11-23 00:00,GALA,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,101.1,$0.0254,$0.0234 (8.00%),$0.0254,$0.0295,-0.7,2.26,2023-12-04 20:00 | 2023-12-18 00:00,$0.0295 | $0.0290,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 16.28,R$ 132.16,"R$ +1,384.94",1.72,"R$ 112,235.50"
2023-12-13 20:00,TRX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,119.7,$0.1040,$0.0998 (4.00%),$0.0998,$0.1123,-0.88,0.49,2023-12-18 00:00,$0.0998,Stop Loss Inicial,R$ 63.89,R$ 33.76,"R$ -1,799.46",-1.08,"R$ 110,436.04"
2023-12-18 12:00,XMR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,113.9,$170.6353,$162.9129 (4.53%),$162.9129,$186.0801,-0.78,1.1,2023-12-29 16:00,$162.7825,Stop Loss Inicial,R$ 56.54,R$ 278.16,"R$ -2,030.31",-1.22,"R$ 108,405.73"
2023-12-13 00:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,140.6,$41535.6574,$38840.5857 (6.49%),$38840.5857,$46925.8009,-0.19,1.47,2024-01-03 00:00,$45297.8000,Time-Stop (21d),R$ 20.02,R$ 199.19,R$ +937.09,1.13,"R$ 109,342.81"
2023-12-17 04:00,ANKR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,99.2,$0.0280,$0.0257 (8.00%),$0.0257,$0.0324,-0.58,1.75,2024-01-03 12:00,$0.0257,Stop Loss Inicial,R$ 32.84,R$ 346.00,"R$ -2,077.99",-1.23,"R$ 107,264.82"
2023-12-31 08:00,KAVA,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,106.4,$0.8828,$0.8321 (5.75%),$0.8321,$0.9844,-0.79,1.47,2024-01-03 12:00,$0.8314,Stop Loss Inicial,R$ 44.65,R$ 74.47,"R$ -1,804.05",-1.08,"R$ 105,460.77"
2024-01-06 16:00,OGN,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,123.8,$0.1759,$0.1618 (8.00%),$0.1618,$0.2040,-1.14,0.0,2024-01-06 20:00,$0.1617,Stop Loss Inicial,R$ 31.80,R$ 0.00,"R$ -1,676.91",-1.03,"R$ 103,783.86"
2024-01-06 20:00,OGN,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,114.8,$0.1649,$0.1517 (8.00%),$0.1517,$0.1913,-0.77,0.99,2024-01-07 20:00,$0.1516,Stop Loss Inicial,R$ 31.31,R$ 5.92,"R$ -1,656.98",-1.03,"R$ 102,126.88"
2023-12-18 08:00,BNB,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,112.3,$236.9884,$227.5089 (4.00%),$237.2254,$255.9475,0.0,5.17,2023-12-20 04:00 | 2024-01-08 00:00,$255.9475 | $293.4400,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 67.52,R$ -794.75,"R$ +7,361.49",4.41,"R$ 109,488.37"
2024-01-11 12:00,FET,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,109.8,$0.7669,$0.7055 (8.00%),$0.7055,$0.8896,-0.97,0.0,2024-01-12 00:00,$0.7050,Stop Loss Inicial,R$ 32.31,R$ 3.90,"R$ -1,707.69",-1.03,"R$ 107,780.67"
2024-01-12 16:00,TRX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,102.2,$0.1068,$0.1025 (4.00%),$0.1069,$0.1153,-0.01,1.96,2024-01-13 12:00 | 2024-01-18 16:00,$0.1153 | $0.1068,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 62.38,R$ 39.03,"R$ +1,533.38",0.94,"R$ 109,314.06"
2024-01-14 00:00,COMP,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,126.2,$58.7994,$54.0954 (8.00%),$54.0954,$68.2073,-1.14,0.5,2024-01-18 16:00,$54.0522,Stop Loss Inicial,R$ 32.27,R$ 28.08,"R$ -1,729.69",-1.05,"R$ 107,584.36"
2024-01-05 00:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,123.0,$44165.8719,$40632.6021 (8.00%),$40632.6021,$51232.4114,-0.93,0.82,2024-01-19 16:00,$40600.0961,Stop Loss Inicial,R$ 31.77,R$ 89.07,"R$ -1,764.23",-1.08,"R$ 105,820.14"
2024-01-14 00:00,XTZ,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,136.6,$1.0795,$0.9932 (8.00%),$0.9932,$1.2523,-0.84,1.53,2024-01-19 16:00,$0.9924,Stop Loss Inicial,R$ 32.27,R$ 33.66,"R$ -1,735.52",-1.05,"R$ 104,084.62"
2024-01-26 08:00,OGN,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,102.5,$0.1618,$0.1488 (8.00%),$0.1619,$0.1877,-0.07,0.71,2024-01-30 16:00 | 2024-01-31 04:00,$0.1877 | $0.1618,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 15.39,R$ 13.56,R$ +761.35,0.96,"R$ 104,845.97"
2024-01-26 16:00,LDO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,101.7,$3.0457,$2.8021 (8.00%),$2.8021,$3.5330,-0.89,0.49,2024-01-31 20:00,$2.7998,Stop Loss Inicial,R$ 15.39,R$ 7.62,R$ -819.46,-1.04,"R$ 104,026.51"
2024-01-26 16:00,SKL,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,107.9,$0.0767,$0.0705 (8.00%),$0.0705,$0.0889,-0.83,0.87,2024-02-04 00:00,$0.0705,Stop Loss Inicial,R$ 15.40,R$ 21.76,R$ -833.65,-1.06,"R$ 103,192.86"
2024-02-02 12:00,AVAX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,113.0,$36.2661,$33.3648 (8.00%),$36.3024,$42.0687,-0.82,1.88,2024-02-14 12:00 | 2024-02-20 12:00,$42.0687 | $37.7230,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 31.06,R$ 116.77,"R$ +1,825.69",1.16,"R$ 105,018.55"
2024-02-05 04:00,CELO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,90.3,$0.6673,$0.6309 (5.47%),$0.6680,$0.7403,0.0,1.86,2024-02-12 16:00 | 2024-02-21 04:00,$0.7403 | $0.7300,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 45.11,R$ 212.88,"R$ +2,650.23",1.69,"R$ 107,668.78"
2024-01-26 12:00,ICP,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,111.9,$11.8709,$10.9213 (8.00%),$11.8828,$13.7703,-0.59,2.13,2024-02-14 08:00 | 2024-02-21 08:00,$13.7703 | $12.9380,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 15.72,R$ 92.98,"R$ +1,124.01",1.42,"R$ 108,792.79"
2024-02-24 16:00,ALGO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,99.5,$0.1920,$0.1766 (8.00%),$0.1922,$0.2227,0.0,1.8,2024-02-28 12:00 | 2024-02-28 16:00,$0.2227 | $0.1920,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 32.60,R$ 106.69,"R$ +1,534.62",0.92,"R$ 110,327.41"
2024-02-24 08:00,EGLD,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.5,$57.8689,$53.2394 (8.00%),$57.9268,$67.1279,-0.19,2.74,2024-03-03 00:00 | 2024-03-05 16:00,$67.1279 | $57.8804,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 32.61,R$ 371.45,"R$ +1,270.14",0.76,"R$ 111,597.55"
2024-02-24 20:00,BCH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,101.2,$268.0740,$253.3239 (5.50%),$268.3420,$297.5741,-0.3,8.03,2024-02-27 00:00 | 2024-03-16 16:00,$297.5741 | $385.6500,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 51.82,R$ 376.07,"R$ +7,906.13",4.73,"R$ 119,503.68"
2024-02-01 12:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,121.9,$42096.8379,$40623.4486 (3.50%),$42138.9347,$45043.6166,0.0,10.62,2024-02-08 12:00 | 2024-03-16 20:00,$45043.6166 | $65351.0000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 78.16,"R$ 1,173.72","R$ +12,780.15",8.1,"R$ 132,283.83"
2024-03-17 20:00,LPT,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,102.6,$22.5703,$20.7647 (8.00%),$20.7647,$26.1815,-0.92,0.0,2024-03-18 04:00,$20.7480,Stop Loss Inicial,R$ 39.17,R$ 1.18,"R$ -2,067.02",-1.03,"R$ 130,216.81"
2024-03-17 20:00,RUNE,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,113.4,$8.9515,$8.2354 (8.00%),$8.2354,$10.3837,-0.83,0.0,2024-03-18 12:00,$8.2288,Stop Loss Inicial,R$ 39.18,R$ 5.10,"R$ -2,071.51",-1.03,"R$ 128,145.30"
2024-03-17 20:00,CELO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,112.2,$1.2456,$1.1460 (8.00%),$1.1460,$1.4449,-1.09,0.0,2024-03-18 12:00,$1.1451,Stop Loss Inicial,R$ 39.18,R$ 4.88,"R$ -2,071.01",-1.03,"R$ 126,074.29"
2024-03-18 00:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,125.7,$68482.1239,$63003.5540 (8.00%),$63003.5540,$79439.2638,-0.98,0.0,2024-03-19 08:00,$62953.1512,Stop Loss Inicial,R$ 39.17,R$ 27.57,"R$ -2,093.04",-1.04,"R$ 123,981.25"
2024-03-20 16:00,ACH,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,112.9,$0.0341,$0.0314 (8.00%),$0.0341,$0.0396,0.0,1.64,2024-03-21 16:00 | 2024-03-24 00:00,$0.0396 | $0.0366,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 18.69,R$ 15.78,"R$ +1,329.95",1.41,"R$ 125,311.20"
2024-03-20 20:00,AR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.2,$36.0730,$33.1872 (8.00%),$36.1091,$41.8447,-0.76,2.7,2024-03-25 12:00 | 2024-04-01 04:00,$41.8447 | $36.0802,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 18.38,R$ 69.39,R$ +855.68,0.91,"R$ 126,166.88"
2024-03-24 00:00,CHR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,126.2,$0.4292,$0.3949 (8.00%),$0.4296,$0.4979,-0.09,3.54,2024-03-25 00:00 | 2024-04-01 04:00,$0.4979 | $0.4293,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 18.84,R$ 68.28,R$ +880.40,0.91,"R$ 127,047.28"
2024-04-02 20:00,LQTY,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,136.5,$1.7624,$1.6214 (8.00%),$1.6214,$2.0444,-1.29,0.13,2024-04-03 12:00,$1.6201,Stop Loss Inicial,R$ 38.19,R$ 4.80,"R$ -2,018.97",-1.03,"R$ 125,028.31"
2024-03-20 12:00,RSR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,125.3,$0.0054,$0.0050 (8.00%),$0.0054,$0.0063,0.0,8.28,2024-03-21 00:00 | 2024-04-04 00:00,$0.0063 | $0.0090,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 21.31,R$ 155.68,"R$ +4,680.06",4.97,"R$ 129,708.37"
