Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Funding Fees (R$),Resultado Base (R$),Resultado 100k (R$),Saldo Acumulado Base
2025-09-30 16:00,APT,Consolidação (1.8R),91/100,$4.3360,$4.3360 (-6.00%),$4.8045,$5.0648,2025-10-01 20:00 | 2025-10-02 08:00,$4.8045 | $5.0648,Alvo 1 (1.8R) | Alvo 2,R$ -0.12,R$ +22.40,"R$ +11,202.36",R$ 218.48
2025-09-23 08:00,BNB,Consolidação (1.8R),78/100,$1010.7500,$1010.7500 (-8.51%),$1165.5571,$1251.5610,2025-10-03 12:00 | 2025-10-07 04:00,$1165.5571 | $1251.5610,Alvo 1 (1.8R) | Alvo 2,R$ 0.10,R$ +24.81,"R$ +12,402.75",R$ 252.42
2025-09-28 20:00,ETH,Consolidação (1.8R),79/100,$4142.1600,$4142.1600 (-5.98%),$4587.9531,$4835.6160,2025-10-03 16:00 | 2025-10-07 12:00,$4587.9531 | $4511.9900,Alvo 1 (1.8R) | Trailing EMA20,R$ 0.13,R$ +16.66,"R$ +8,332.09",R$ 259.99
2025-10-07 08:00,PENDLE,Consolidação (1.8R),77/100,$5.1070,$4.5043 (-11.80%),$6.1919,$6.7947,2025-10-09 08:00,$4.5043,Stop Loss Inicial,R$ -0.05,R$ -12.72,"R$ -6,362.29",R$ 247.13
2025-10-08 16:00,SUI,Consolidação (1.8R),100/100,$3.5387,$3.3206 (-6.16%),$3.9314,$4.1495,2025-10-10 12:00,$3.3206,Stop Loss Inicial,R$ 0.08,R$ -13.38,"R$ -6,692.27",R$ 233.85
2025-10-02 16:00,AAVE,Consolidação (1.8R),91/100,$291.8800,$260.6596 (-10.70%),$348.0766,$379.2970,2025-10-10 16:00,$260.6596,Stop Loss Inicial,R$ 0.15,R$ -11.22,"R$ -5,609.83",R$ 222.85
2025-10-10 08:00,NEAR,Consolidação (1.8R),75/100,$3.1560,$2.6737 (-15.28%),$4.0242,$4.5065,2025-10-10 20:00,$2.6737,Stop Loss Inicial,R$ 0.01,R$ -12.47,"R$ -6,236.29",R$ 210.44
2025-10-12 08:00,BNB,Consolidação (1.8R),80/100,$1230.1200,$752.4046 (-38.83%),$2090.0076,$2567.7230,2025-10-26 08:00,$1135.2800,Time-Stop (14d),R$ -0.09,R$ -2.04,"R$ -1,019.29",R$ 208.34
2025-10-13 16:00,SOL,Consolidação (1.8R),79/100,$207.1000,$166.1657 (-19.77%),$280.7817,$321.7160,2025-10-27 16:00,$200.0300,Time-Stop (14d),R$ 0.02,R$ -1.91,R$ -955.91,R$ 206.31
2025-10-13 20:00,RENDER,Consolidação (1.8R),75/100,$3.0460,$2.1529 (-29.32%),$4.6536,$5.5467,2025-10-27 20:00,$2.4970,Time-Stop (14d),R$ -0.01,R$ -6.51,"R$ -3,254.42",R$ 199.73
