Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2024-04-01 16:00,XTZ,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,97.0,$1.3207,$1.2678 (4.00%),$1.2678,$1.4263,-0.92,0.59,2024-04-02 00:00,$1.2668,Stop Loss Inicial,R$ 57.40,R$ 8.77,"R$ -1,595.18",-1.06,"R$ 98,404.82"
2024-04-02 00:00,XTZ,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,99.3,$1.3527,$1.2699 (6.12%),$1.2699,$1.5183,-1.0,0.0,2024-04-02 04:00,$1.2688,Stop Loss Inicial,R$ 37.29,R$ 0.00,"R$ -1,531.73",-1.04,"R$ 96,873.09"
2024-04-03 04:00,LQTY,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,135.8,$1.7834,$1.6407 (8.00%),$1.6407,$2.0687,-1.42,0.0,2024-04-03 12:00,$1.6394,Stop Loss Inicial,R$ 28.36,R$ 1.78,"R$ -1,497.13",-1.03,"R$ 95,375.96"
2024-04-06 08:00,NEAR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.0,$7.0975,$6.5297 (8.00%),$6.5297,$8.2332,-0.99,0.87,2024-04-12 12:00,$6.5245,Stop Loss Inicial,R$ 13.96,R$ 24.06,R$ -760.45,-1.06,"R$ 94,615.51"
2024-04-06 08:00,CYBER,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,94.4,$13.5228,$12.4409 (8.00%),$12.4409,$15.6864,-1.59,0.92,2024-04-12 12:00,$12.4310,Stop Loss Inicial,R$ 13.96,R$ 8.24,R$ -744.58,-1.04,"R$ 93,870.93"
2024-04-06 20:00,ETC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,96.3,$32.9885,$30.3494 (8.00%),$30.3494,$38.2666,-1.67,1.02,2024-04-12 16:00,$30.3251,Stop Loss Inicial,R$ 13.96,R$ 27.04,R$ -763.35,-1.07,"R$ 93,107.58"
2024-04-05 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,134.0,$67919.4428,$63340.2429 (6.74%),$63340.2429,$77077.8425,-0.87,0.99,2024-04-13 20:00,$63289.5707,Stop Loss Inicial,R$ 16.47,R$ 39.58,R$ -779.78,-1.09,"R$ 92,327.80"
2024-04-21 04:00,FET,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,132.0,$2.5182,$2.3167 (8.00%),$2.3167,$2.9211,-1.23,0.46,2024-04-24 20:00,$2.3149,Stop Loss Inicial,R$ 13.55,R$ 5.03,R$ -719.55,-1.04,"R$ 91,608.24"
2024-04-20 04:00,ONT,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,114.0,$0.3824,$0.3518 (8.00%),$0.3828,$0.4436,-0.81,1.9,2024-04-22 00:00 | 2024-04-26 00:00,$0.4436 | $0.3825,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 13.54,R$ -89.47,R$ +771.17,1.11,"R$ 92,379.42"
2024-04-21 04:00,AR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,136.9,$32.1851,$29.6103 (8.00%),$32.2173,$37.3347,-0.28,1.41,2024-04-25 20:00 | 2024-04-26 12:00,$37.3347 | $32.1915,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 13.55,R$ 7.55,R$ +674.40,0.97,"R$ 93,053.82"
