# FOLDERS SUMMARY
# FORMAT: FOLDER PATH | FILE COUNT | TOTAL SIZE

/ | 2 files | 3.09 KB
/Acadêmico | 1 files | 524.21 KB
/Acadêmico/Curriculo/01_Formacao_Academica | 5 files | 2.12 MB
/Acadêmico/Curriculo/02_Formacao_Complementar | 4 files | 1.33 MB
/Acadêmico/Curriculo/03_Atuacao_Profissional | 8 files | 2.24 MB
/Acadêmico/Curriculo/04_Producao_Bibliografica/04.1_Artigos_Publicados | 4 files | 1.88 MB
/Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais | 21 files | 16.77 MB
/Acadêmico/Curriculo/05_Eventos/05.1_Participacao | 4 files | 1.28 MB
/Acadêmico/Curriculo/06_Palestra_e_Premios | 4 files | 1.27 MB
/Acadêmico/Curriculo/07_Documentos_Gerais | 2 files | 600.52 KB
/Acadêmico/Livros | 2 files | 307.98 MB
/Acadêmico/Livros/日本語 | 6 files | 222.46 MB
/Acadêmico/Livros/日本語/ひらがなとカタカナ | 6 files | 1.14 MB
/Gemini Gems | 1 files | 2.45 KB
/Google Workspace | 1 files | 12.93 KB
/Pessoal | 2 files | 41.96 KB
/Pessoal/Documentos/Empresa | 10 files | 4.45 MB
/Pessoal/Documentos/Pessoais | 1 files | 1.34 MB
/Pessoal/Financeiro | 1 files | 3.21 KB
/[FORA_DO_ESCOPO] | 1 files | 252.01 KB
